PrpStatDate,TN,TP,TQ,TR,TT,TM,TW,TV,TH,TC,TX
2016-01-04,18,50,0,0,0,13,3,16,1,46,2
2016-01-05,86,56,0,1,0,10,0,9,0,54,0
2016-01-06,29,66,0,2,0,3,0,8,0,66,0
2016-01-07,33,74,0,0,0,5,1,4,5,78,0
2016-01-08,61,80,0,0,0,15,0,0,1,78,0
2016-01-11,29,100,0,8,0,21,2,19,2,98,0
2016-01-12,39,66,0,0,0,16,1,12,3,66,0
2016-01-13,24,73,0,6,0,23,1,20,8,78,1
2016-01-14,28,73,0,1,0,8,2,19,0,70,0
2016-01-15,73,71,3,0,0,5,2,8,3,67,2
2016-01-19,27,79,0,2,0,10,4,2,6,76,0
2016-01-20,38,79,0,0,0,20,3,6,2,74,1
2016-01-21,38,58,0,0,0,5,1,14,7,58,3
2016-01-22,47,87,0,0,0,22,0,0,7,86,0
2016-01-25,40,104,0,3,0,13,0,26,0,102,0
2016-01-26,57,72,0,3,0,13,5,10,5,72,0
2016-01-27,50,78,0,0,0,24,1,38,18,76,0
2016-01-28,69,51,0,0,0,7,0,21,1,53,0
2016-01-29,72,76,0,2,0,19,0,10,9,70,0
2016-02-01,40,47,0,3,0,1,1,21,0,47,0
2016-02-02,49,56,0,0,0,2,0,0,1,55,0
2016-02-03,38,53,0,1,0,18,0,2,0,57,0
2016-02-04,25,39,0,0,0,15,0,18,4,43,0
2016-02-05,70,69,0,0,0,19,0,1,0,70,0
2016-02-08,17,37,0,0,0,5,1,31,0,41,0
2016-02-09,30,49,0,1,0,11,0,0,0,49,0
2016-02-10,47,106,0,0,0,17,0,18,0,106,0
2016-02-11,43,100,0,0,0,20,0,0,0,99,0
2016-02-12,45,62,0,0,0,9,0,4,0,62,3
2016-02-16,42,76,0,0,0,4,1,35,0,78,0
2016-02-17,37,107,0,2,0,11,0,11,0,108,0
2016-02-18,34,92,0,0,0,32,1,9,1,91,0
2016-02-19,58,71,0,1,0,5,0,17,5,74,0
2016-02-22,64,98,0,1,0,4,0,22,0,97,1
2016-02-23,53,70,0,0,0,2,0,14,11,69,1
2016-02-24,44,57,0,0,0,5,0,9,3,57,0
2016-02-25,38,54,1,0,0,8,1,3,3,58,0
2016-02-26,62,69,0,1,0,3,1,6,6,75,0
2016-02-29,42,58,0,0,0,7,1,2,4,63,0
2016-03-01,43,48,0,0,0,13,0,0,5,60,0
2016-03-02,29,41,0,3,0,12,0,21,4,56,1
2016-03-03,50,92,0,2,0,12,0,11,0,90,0
2016-03-04,52,75,0,0,0,11,0,0,1,72,0
2016-03-07,41,47,0,0,0,8,0,19,6,45,0
2016-03-08,41,45,0,0,0,12,1,9,0,44,0
2016-03-09,37,51,0,0,0,7,0,14,9,51,0
2016-03-10,39,48,0,0,0,3,0,5,2,56,1
2016-03-11,106,45,0,0,0,4,0,4,6,51,0
2016-03-14,94,50,1,2,0,0,0,4,2,50,0
2016-03-15,74,63,0,1,0,14,2,0,3,63,0
2016-03-16,29,71,0,0,0,22,0,7,3,73,0
2016-03-17,42,62,0,1,0,9,1,21,9,60,0
2016-03-18,29,22,0,0,0,5,0,6,1,22,0
2016-03-21,33,78,0,0,0,17,0,16,3,74,0
2016-03-22,62,91,0,1,0,15,2,19,5,92,5
2016-03-23,34,64,0,0,0,11,0,16,3,63,0
2016-03-24,45,81,0,1,0,13,0,10,2,78,1
2016-03-25,68,64,0,0,0,15,0,9,3,66,1
2016-03-28,26,51,0,0,0,4,0,13,1,52,2
2016-03-29,39,81,0,0,0,16,0,5,1,84,0
2016-03-30,47,73,0,0,0,14,0,17,10,72,1
2016-03-31,70,33,0,0,0,7,0,3,3,34,1
2016-04-01,48,74,0,0,0,6,0,3,1,72,0
2016-04-04,22,38,0,0,0,0,0,19,2,40,0
2016-04-05,61,71,1,1,0,12,0,2,0,73,0
2016-04-06,28,59,1,1,0,15,1,23,5,55,4
2016-04-07,62,92,0,1,0,10,0,26,2,93,0
2016-04-08,34,95,0,0,0,23,0,8,13,95,0
2016-04-11,34,80,0,0,0,8,2,27,5,85,0
2016-04-12,37,102,0,0,0,16,0,8,1,104,0
2016-04-13,44,70,0,0,0,15,0,16,4,69,0
2016-04-14,42,56,0,0,0,7,0,3,2,56,0
2016-04-15,54,45,0,0,0,14,0,12,1,46,0
2016-04-18,27,64,0,0,0,12,0,21,9,65,0
2016-04-19,60,78,0,0,0,9,0,14,6,77,1
2016-04-20,26,47,1,0,0,13,0,6,309,52,0
2016-04-21,25,53,0,0,0,11,0,8,1,52,0
2016-04-22,77,68,0,1,0,12,2,10,2,69,1
2016-04-25,15,27,0,0,0,4,1,10,3,27,1
2016-04-26,54,52,0,0,0,10,0,0,4,53,0
2016-04-27,22,46,0,0,0,9,0,14,1,46,0
2016-04-28,33,36,0,0,0,10,0,11,5,36,2
2016-04-29,73,66,0,0,0,18,0,11,1,67,0
2016-05-02,20,21,0,1,0,1,0,17,0,18,0
2016-05-03,36,38,0,0,0,8,0,1,6,39,0
2016-05-04,30,43,0,0,0,2,0,8,0,44,0
2016-05-05,40,45,0,0,0,3,0,2,1,46,0
2016-05-06,52,23,0,0,0,1,0,2,0,23,0
2016-05-09,42,29,1,0,0,2,1,2,2,30,0
