year,General Fund,Special Funds,Major Revenue,Minor Revenue,SCO Adjustments,Transfers & Loans
2000,71427698,16991345,88127899,6593370,802,-6303028
2001,72262608,17541482,73294863,9678887,1242,6829098
2002,80563566,15230734,75419711,20035964,0,338625
2003,76867380,19591125,81614504,14723758,0,120243
2004,82209489,22252296,93764012,10706346,6544,-15117
2005,93451445,24896040,105860392,12480303,0,6790
2006,95469223,25269702,109390243,10817398,0,531284
2007,102521881,24669155,111777900,14789854,0,623282
2008,82772112,23546860,95019916,11291115,0,7941
2009,87045592,23020286,99283860,10788499,0,-6481
2010,93443276,29019854,106941596,15534473,0,-12939
2011,86785644,32006023,106350514,12128864,0,312289
2012,99401578,37534247,119798124,16699681,0,438020
2013,103374663.5,39485443.99,127192402,15519933.48,0,147772
2014,111789388,46085510,139482473,18419148,0,-26723
2015,115660635,46098821,143651992,18439281,0,-331817
2016,118539013,50844513,145759910,23717120,0,-93504
2017,125880492,52560561,155833473,22626866,0,-19286
