year,Abandoned Property,Adjustments to Reconcile to Controller,Alcoholic Beverages Taxes & Fees,All Other Minor Revenue,California State University Fees,Cigarette Tax,Corporation Tax,Emergency Telephone Users Surcharge,"Estate, Inheritance & Gift Tax",Horse Racing (Pari-mutual License Fees),Income from Pooled Money Investments,Income from Surplus Money Investments,Insurance Gross Premium Tax,Motor Vehicle Fuel Tax (Diesel),Motor Vehicle Fuel Tax (Gasoline),Motor Vehicle License (In-Lieu) Fees,Motor Vehicle Registration,Personal Income Tax,Retail Sales and Use Tax,Retail Sales and Use Tax (Fiscal Recovery),Retail Sales and Use Tax (Realignment),Settlements & Judgments,State Lands Royalties,Telecommunications Tax,Trailer Coach License (In-Lieu) Fees,Transfers & Loans,Trial Court Revenues
2000,133785,802,288451,3970675,664300,1150856,6899302,121668,934708,44541,821549,351439,1496556,462425,2679717,3289168,1943249,44614297,22010692,0,2287600,392691,136819,0,26337,-6303028,444
2001,287848,1242,292627,7441507,735050,1102807,5333036,125381,915627,44622,356111,212380,1596002,467879,2828024,1927368,1891776,33046665,21587428,0,2228978,477781,42829,14264,17760,6829098,0
2002,257533,0,290564,17926501,818980,1055505,6803559,139267,647372,42028,189978,144161,1879784,474378,2728133,1885148,1986474,32709761,22619606,0,2279419,476074,83470,0,17980,338625,0
2003,669319,0,312826,12573410,1012233,1081588,7019216,139510,397848,42143,123423,79427,2114980,500807,2824076,2051623,2342437,36398983,24064291,0,2442620,4773,121663,0,21066,120243,0
2004,657759,6544,314252,8265243,1098122,1096224,8670065,128463,213036,38491,232165,130911,2232955,531609,2834532,2133709,2716022,42992007,26179104,1163025,2625007,5564,188119,0,23974,-15117,0
2005,334206,0,318276,9670667,1230748,1088703,10316467,130911,3786,38018,447626,276958,2202327,550428,2842953,2239348,2811901,51219823,27935284,1419684,2846114,89614,299573,0,27280,6790,0
2006,205180,0,333789,9168915,0,1078536,11157898,112154,6348,37527,534743,498239,2178336,580896,2851631,2268019,2849952,53348766,28395475,1411392,2862308,43075,255092,0,29370,531284,0
2007,322594,0,327260,13029574,0,1037287,11849097,103748,6303,34949,441320,453935,2172936,587877,2830536,2243239,2939817,55745970,27770636,1397000,2805238,22369,416314,0,29755,623282,0
2008,272286,0,323934,10160952,0,1000456,9535679,108000,245,30737,111080,214617,2053850,513739,2666373,2298128,3237473,44355959,25272036,1254316,2445950,95917,328263,0,31041,7941,0
2009,336932,0,311242,9936023,0,922986,9114589,90000,0,15541,39073,63022,2180786,496174,2667520,3306447,3379300,45650901,27669155,1172329,2355670,30587,292862,0,41220,-6481,0
2010,253564,0,334178,14724263,0,905245,9613594,86500,0,13548,33963,49570,2307022,473928,5231599,3166259,3359359,50507989,27310602,1216641,2469129,9209,377404,0,32503,-12939,0
2011,401257,0,346000,11079184,0,895677,7233000,83320,0,15838,25345,34797,2416073,362994,5181536,2048751,3836019,55449292,19246803,1312362,7983073,26436,478525,0,23096,312289,0
2012,486530,0,357000,15676061,0,868703,7783000,79150,0,14088,26184,22838,2242379,320576,5172274,1952822,3890492,66168000,21122106,1443386,8441798,27217,381701,0,21500,438020,0
2013,364000,0,354297,14513838.48,0,833126,9092696,85223,0,13899,16165,17969,2632738,339175,5724181,2146129,3566844,68306264,23729375,1506867,8927622,77566,445172,0,19189,147772,0
2014,431756,0,357373,17543250,0,832379,9416779,97664,0,14009,20898,26834,2444573,365634,5345526,2286047,3672430,77999964,25756551,1584475,9386346,54295,244451,0,20387,-26723,0
2015,405946,0,368699,17702190,0,840034,10459561,81605,0,14537,41100,63287,2561932,441002,4559537,2480547,3793190,80541269,26967969,964645,9636328,71249,73904,0,22742,-331817,0
2016,363978,0,374608,23001110,0,1184961,10210422,91505,0,15349,67547,63971,2482915,552317,4353043,2630957,3951401,85023954,25187502,0,9769284,47354,81655,0,23197,-93504,0
2017,381021,0,376735,21921792,0,2090908,10894418,91505,0,15349,106366,61799,2537706,966498,5897865,2760039,4260117,90708799,25155161,0,10146218,30646,33737,0,23660,-19286,0
